sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
RFFG0340-B-SS-WS-RBCRSBA-PQ9,,Fibreglass Flags,simple,,base,Medium Bold Flag 3.4m Single Sided With Black Sleeve and Rhino Cross Base Printed Quantity 9,"<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.3m, 3.2m, 4.1m, 5.1m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Zoom Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Zoom Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Zoom flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.3m, 3.2m, 4.1m, 5.1m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",54,2,UK VAT,Not Visible Individually,661.32,,,,medium-Bold-flag-3.4m-single-sided-with-black-sleeve-and-rhino-cross-base-printed-quantity-9,,,,,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"custom_measurement=No,flag_base=Rhino Cross Base,flag_shape=Bold,flag_size=3.4m,flag_sleeve=White,material=110gsm Knitted Polyester,printed_sides=Single Sided,print_qty=9,product_usage=Indoor Only,recommended=No,recommended_product=No,search_weight=0,ves_enable_order=1,ves_enable_quote=1",99999,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
FibreglassFeatherFlagBoldShape,,Fibreglass Flags,configurable,Default Category/All Products/Flags/Fibreglass Feather Flags,base,Fibreglass Bold Shape Feather Flag,"<ul>
<li>Available in 3 shapes.</li>
<li>Choose from upto 8 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.3m, 3.2m, 4.1m, 5.1m</li>
<li>Printed on 115gsm Knitted Polyester.</li>
<li>Image reads correctly on</li></ul>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from upto 8 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.3m, 3.2m, 4.1m, 5.1m</li>
<li>Printed on 115gsm Knitted Polyester.</li>
<li>Image reads correctly on</li></ul>",10,1,UK VAT,"Catalog, Search",,,,,,,,,,,,,,,,,,,,,Product Info Column,,,,No,,,,,1 column,,Use config,United Kingdom,"custom_measurement=No,manufacturer=Rhino,material=330 gsm So Flat PVC,product_usage=Indoor Only,recommended=No,recommended_product=Yes,search_weight=0,show_stickysidebar=0,ves_enable_order=1,ves_enable_quote=1",0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"sku=RFFG0340-B-SS-WS-RBCRSBA-PQ9,printed_sides=Single Sided,flag_size=3.4m,flag_sleeve=White,flag_base=Rhino Small Water/Sand Base,print_qty=9","printed_sides=Printed Sides,flag_size=Flag Size,flag_sleeve=Flag Sleeve,flag_base=Flag Base,print_qty=Printed Quantity",
