sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
RFF-CURVE,,Feather Flags,configurable,"Default Category/Flags/Feather Flags,Default Category/Flags,Default Category/All Products,Default Category/All Products/Feather Flags,Default Category/Advertising Flags/Feather Flags",base,Curved Shape Feather Flag,"<ul>
<li>Available in four heights: 2.8m, 3.4m, 4.5m and 5.6m.</li>
<li>2.8m, 3.4m and 4.5m available in single or double-sided print (see Technical Information tab).</li>
<li>5.6m available in single sided print only (see Technical Information tab)</li>
<li>The choice of eight base options (height and printed sides dependent)</li>
<li>Flags are printed on 115gsm knitted polyester</li>
<li>Supplied with reinforced yet lightweight fibreglass pole kit</li>
<li>Suitable for both indoor and outdoor use</li>
<li>All products are individually packaged in a cardboard carton</li>
</ul>
<p>Printed flags are a great way of promoting a special event or business to the public. They ensure that your message stands out and can be seen above the crowd. They can also be used as markers or information points at outdoor events, such as Car Park or First Aid Station.</p>

<p>Our fibreglass pole kits mean that our flags are durable and able to endure windy or inclement weather (see the Technical Information tab</p>

","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.3m, 3.2m, 4.1m, 5.1m</li>
<li>Printed on 115gsm Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.350000,2,Taxable Goods,"Catalog, Search",,,,,featherflag-curveshape,Curved Shape Feather Flag,Curved Shape Feather Flag,Curved Shape Feather Flag,/f/e/feather-curve.jpg,,/f/e/feather-curve.jpg,,/f/e/feather-curve.jpg,,,,"08/01/2019, 15:53","24/02/2020, 07:42",,,Block after Info Column,,,,No,,,,,,,Use config,United Kingdom,"allow_add_more=No,artwork_template_tab=Yes,default_associated_product=10030,design_for_me=Yes,design_online=Yes,enable_handles=No,enable_name_number=No,enable_product_designer=Yes,flag_material=115gsm Knitted Polyester,flag_shape=Curve,leadtime=4-5 Working Days,output_height=7226,output_width=2340,print_qty=1,product_usage_type=Indoor & Outdoor,rolling_clock=Yes,show_stickysidebar=0,technical_information=<div class=""tech-info"">
<div class=""container"">
<div class=""tech-info-table"">
<table class=""table"">
<tbody>
<tr>
<td style=""border-top: none; padding: 5px 10px;"" colspan=""2"">Standard Production Time Three to eight working days from order date</td>
</tr>
<tr>
<td style=""border-top: none; min-width: 160px; padding: 5px 10px; font-weight: 600;"">Flag Material</td>
<td style=""border-top: none; padding: 5px 10px;"">115gsm knitted polyester</td>
</tr>
<tr>
<td style=""border-top: none; padding: 5px 10px; min-width: 160px; font-weight: 600;"">Fire Rated</td>
<td style=""border-top: none; padding: 5px 10px;"">Yes (certificate available to view by clicking here)</td>
</tr>
<tr>
<td style=""border-top: none; font-weight: 600; padding: 5px 10px;"">Product Usage</td>
<td style=""border-top: none; padding: 5px 10px;"">Indoor and Outdoor</td>
</tr>
<tr>
<td style=""border-top: none; min-width: 160px; font-weight: 600; padding: 5px 10px; "">Single Sided</td>
<td style=""border-top: none; padding: 5px 10px;"">Image reads correctly on one side with reverse image as show through</td>
</tr>
<tr>
<td style=""border-top: none; min-width: 160px; font-weight: 600; padding: 5px 10px; "">Double sided</td>
<td style=""border-top: none; padding: 5px 10px;"">Two pieces of material are stitched together with an interlining between. This option is only available in certain sizes due to the weight of the material. Please note that the colour of our interlining may affect the finished appearance of the flag</td>
</tr>
<tr>
<td style=""border-top: none; min-width: 160px; font-weight: 600; padding: 5px 10px; "">Pole Kit Materia</td>
<td style=""border-top: none; padding: 5px 10px;"">Fibreglass</td>
</tr>
<tr>
<td style=""border-top: none; min-width: 160px; font-weight: 600; padding: 5px 10px; "">Flag Sizes</td>
<td style=""border-top: none; padding: 5px 10px;"">2.8m – 2055mm (h) x 600mm (w)<br>3.4m – 2255mm (h) x 600mm (w)<br>4.5m – 3250mm (h) x 655mm (w)<br>5.6m – 4717mm (h) x 757mm (w)</td>
</tr>
<tr>
<td style=""border-top: none; min-width: 160px; font-weight: 600; padding: 5px 10px; "">Windspeed</td>
<td style=""border-top: none; padding: 5px 10px;"">Up to 19mph or 30kph (Wind Force 5)</td>
</tr>
<tr>
<td style=""border-top: none; min-width: 160px; font-weight: 600; padding: 5px 10px; "">Warranty</td>
<td style=""border-top: none; padding: 5px 10px;"">1-year warranty (excludes graphic)</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>,ts_packaging_type=None,upload_artwork=Yes,withwithout_graphic=With Graphics",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,0,0,1,1.0000,1,0,0,0,"featherflagboldshape,featherflagzoomshape","1,2",,,,,"/f/e/feather-curve.jpg,/2/_/2.3m_feather_flag_curve_alu_single_sided_.png",",",,"name=Service,type=radio,required=1,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Standard|name=Service,type=radio,required=1,price=11.480000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Express|name=Service,type=radio,required=1,price=22.960000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Super Express|name=Artwork,type=file,required=0,price=0.000000,sku=,max_characters=0,file_extension=pdf, indt, ai,image_size_x=0,image_size_y=0,price_type=fixed",,,,,,,,"sku=RFF0320-C-SS-WS-RBCRSBA-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Cross Base|sku=RFF0230-C-SS-BS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0230-C-SS-WS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Screw Spike Base|sku=RFF0230-C-SS-BS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=No Base|sku=RFF0320-C-SS-BS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0510-C-SS-BS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0410-C-SS-BS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-SS-BS-RBCRSBAWATBA-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Cross Base with Weighting Ring|sku=RFF0230-C-SS-WS-RBCRSBA-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Cross Base|sku=RFF0510-C-SS-WS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-SS-BS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Screw Spike Base|sku=RFF0230-C-SS-WS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=No Base|sku=RFF0510-C-SS-WS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=White,flag_base=Rhino Ground Spike|sku=RFF0230-C-SS-WS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Ground Spike|sku=RFF0320-C-SS-WS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Ground Spike|sku=RFF0230-C-SS-WS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0410-C-SS-WS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0510-C-SS-WS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=White,flag_base=Rhino Screw Spike Base|sku=RFF0510-C-SS-BS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=No Base|sku=RFF0320-C-SS-BS-RBSWA20-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Small Water/Sand Base|sku=RFF0230-C-SS-WS-RBFPLT400-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Metal Steel Plate Base|sku=RFF0320-C-SS-BS-RBFPLT400-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Metal Steel Plate Base|sku=RFF0510-C-SS-BS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=Rhino Screw Spike Base|sku=RFF0510-C-SS-WS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=White,flag_base=No Base|sku=RFF0510-C-SS-WS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0320-C-SS-WS-RBFPLT400-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Metal Steel Plate Base|sku=RFF0410-C-SS-BS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0410-C-SS-WS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Screw Spike Base|sku=RFF0410-C-SS-BS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=No Base|sku=RFF0320-C-SS-WS-RBLWA30-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0320-C-SS-BS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0410-C-SS-WS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Ground Spike|sku=RFF0320-C-SS-WS-RBCRSBAWATBA-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Cross Base with Weighting Ring|sku=RFF0320-C-SS-WS-RBSWA20-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Small Water/Sand Base|sku=RFF0410-C-SS-BS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Screw Spike Base|sku=RFF0410-C-SS-WS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=White,flag_base=No Base|sku=RFF0230-C-SS-BS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-SS-BS-RBSWA20-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Small Water/Sand Base|sku=RFF0320-C-SS-WS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Screw Spike Base|sku=RFF0320-C-SS-BS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=No Base|sku=RFF0230-C-SS-BS-RBCRSBA-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Cross Base|sku=RFF0230-C-SS-WS-RBSWA20-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Small Water/Sand Base|sku=RFF0410-C-SS-BS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0230-C-SS-WS-RBCRSBAWATBA-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Cross Base with Weighting Ring|sku=RFF0510-C-SS-BS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0320-C-SS-BS-RBCRSBA-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Cross Base|sku=RFF0320-C-SS-BS-RBSCSPK-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Screw Spike Base|sku=RFF0320-C-SS-WS-NOBASE-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=No Base|sku=RFF0320-C-SS-BS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0510-C-SS-BS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0230-C-SS-WS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-SS-BS-RBFPLT400-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Metal Steel Plate Base|sku=RFF0410-C-SS-WS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0320-C-SS-BS-RBCRSBAWATBA-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Cross Base with Weighting Ring|sku=RFF0230-C-SS-BS-RBGRSPK-PQ1,printed_sides=Single Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0320-C-SS-WS-RBWHEBA-PQ1,printed_sides=Single Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0320-C-DS-WS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0510-C-DS-BS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0320-C-DS-WS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0410-C-DS-WS-NOBASE-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=White,flag_base=No Base|sku=RFF0230-C-DS-BS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0410-C-DS-BS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-DS-WS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0230-C-DS-WS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-DS-WS-RBSCSPK-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Screw Spike Base|sku=RFF0230-C-DS-BS-NOBASE-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=No Base|sku=RFF0510-C-DS-WS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=White,flag_base=Rhino Ground Spike|sku=RFF0510-C-DS-BS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-DS-BS-RBSCSPK-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Screw Spike Base|sku=RFF0230-C-DS-WS-NOBASE-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=White,flag_base=No Base|sku=RFF0410-C-DS-WS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0510-C-DS-WS-NB-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=White,flag_base=No Base|sku=RFF0320-C-DS-BS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0410-C-DS-BS-RBSCSPK-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Screw Spike Base|sku=RFF0320-C-DS-WS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Ground Spike|sku=RFF0510-C-DS-BS-NB-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=No Base|sku=RFF0410-C-DS-BS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0230-C-DS-WS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Ground Spike|sku=RFF0230-C-DS-BS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0410-C-DS-WS-RBSCSPK-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Screw Spike Base|sku=RFF0230-C-DS-WS-RBFPLT400-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=White,flag_base=Rhino Metal Steel Plate Base|sku=RFF0320-C-DS-BS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Large Water/Sand Base|sku=RFF0230-C-DS-BS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0410-C-DS-WS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0510-C-DS-BS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0410-C-DS-BS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=Rhino Ground Spike|sku=RFF0510-C-DS-WS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=White,flag_base=Rhino Car Wheel Base|sku=RFF0230-C-DS-BS-RBFPLT400-PQ1,printed_sides=Double Sided,flag_size=2.3m,flag_sleeve=Black,flag_base=Rhino Metal Steel Plate Base|sku=RFF0320-C-DS-WS-RBSCSPK-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=White,flag_base=Rhino Screw Spike Base|sku=RFF0320-C-DS-BS-NOBASE-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=No Base|sku=RFF0510-C-DS-WS-RBLWA30-PQ1,printed_sides=Double Sided,flag_size=5.1m,flag_sleeve=White,flag_base=Rhino Large Water/Sand Base|sku=RFF0410-C-DS-BS-NOBASE-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=Black,flag_base=No Base|sku=RFF0320-C-DS-BS-RBWHEBA-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Car Wheel Base|sku=RFF0320-C-DS-BS-RBSCSPK-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=Black,flag_base=Rhino Screw Spike Base|sku=RFF0320-C-DS-WS-NOBASE-PQ1,printed_sides=Double Sided,flag_size=3.2m,flag_sleeve=White,flag_base=No Base|sku=RFF0410-C-DS-WS-RBGRSPK-PQ1,printed_sides=Double Sided,flag_size=4.1m,flag_sleeve=White,flag_base=Rhino Ground Spike","printed_sides=Printed Sides,flag_size=Flag Size,flag_sleeve=Flag Sleeve,flag_base=Flag Base"
RFF0230-C-DS-BS-NB-PQ1,,Feather Flags,simple,Default Category,base,Small Feather Flag 2.3m Curve Shape Double Sided With Black Sleeve and No Base Printed Quantity 1,"<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.3m, 3.2m, 4.1m, 5.1m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Feather Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Feather Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Feather flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.3m, 3.2m, 4.1m, 5.1m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",4.800000,1,UK VAT,Not Visible Individually,116.350000,,,,small-feather-flag-2-3m-curve-shape-double-sided-with-black-sleeve-and-no-base-printed-quantity-1,,,,,,,,,,,,"23/01/2018, 15:15","14/03/2018, 18:19",,,Block after Info Column,,,,,,,,,,,Use config,,"design_for_me=Yes,flag_base=No Base,flag_material=115gsm Knitted Polyester,flag_shape=Curve,flag_size=2.3m,flag_sleeve=Black,leadtime=4-5 Working Days,printed_sides=Double Sided,print_qty=1,product_usage_type=Indoor & Outdoor,withwithout_graphic=With Graphics",99999.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
