sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,wee_tax_variations,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
ExpovisionRollerBanner,,Expovision Roller Banner,configurable,"Default Category/All Products,Default Category/All Products/Indoor Products/Roller Banner",base,Expovision Roller Banner,"<p>Roller banners have always been one of the most popular promotional materials available, and the Expovision is our most popular product within this range.</p>
<p>This lightweight roller banner is our value option and is perfect for any trade show or exhibition event.</p>
<ul>
<li>Available in 4 different widths: 850mm, 1000mm, 1200mm and 1500mm</li>
<li>Standard height of 2000mm across all widths</li>
<li>2 twist out feet add stability</li>
<li>Compact lightweight base</li>
<li>Single sided banner</li>
<li>Includes a Carry Case</li>
</ul>","<ul>
<li>Available in 4 different widths: 850mm, 1000mm, 1200mm and 1500mm</li>
<li>Standard height of 2000mm across all widths</li>
<li>2 twist out feet add stability</li>
<li>Compact lightweight base</li>
<li>Single sided banner</li>
<li>Includes a Carry Case</li>
</ul>",7.5,1,UK VAT,"Catalog, Search",,,,,expovision-roller-banner,Expovision Roller Banner,Expovision Roller Banner,Expovision Roller Banner When cost and acceptable quality are important factors ourExpovison stand is an attractive option. Designed with budgetin mind offering a slightly more basic feel using the 'twist outfeet' for stability.Padded carry bag2 twist out,/e/x/expovison_roller_banner2.jpg,,/e/x/expovison_roller_banner2.jpg,,/e/x/expovison_roller_banner2.jpg,,,,"29/05/2018, 16:47","15/05/2019, 14:20",,,Block after Info Column,,,,Use config,,,,,,,Use config,United Kingdom,"banner_height=3750mm,banner_size=1000mm x 1000mm,material=240mic Stop Light Polyester Film,mst_search_weight=0,printed_sides=Single Sided,print_type=Digital,product_usage=Indoor Only,show_stickysidebar=0,ves_enable_order=1,ves_enable_quote=1",0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,"RhinoRollerBanner,Mirage2RollerBanner,VogueRollerBanner,SCRB,IllusionCassetteRollerBanner,OrientRollerBanner,BarracudaRollerBanner,RayoRollerBanner","1,2,3,4,5,6,7,10",,,,,"/e/x/expovison_roller_banner2.jpg,/e/x/expovision_bag_1.jpg,/e/x/expovision_base_02_1.jpg,/e/x/expovision_top_rail_1.jpg",",,,",,,,,,,,,,,"sku=EV850-PQ1,banner_width=850mm,print_qty=1|sku=EV1000-PQ1,banner_width=1000mm,print_qty=1|sku=EV1200-PQ1,banner_width=1200mm,print_qty=1|sku=EV1500-PQ1,banner_width=1500mm,print_qty=1","banner_width=banner width,print_qty=Printed Quantity"
BBA-EXPO-EVENT,,Bannerbow ,configurable,"Default Category/All Products,Default Category/All Products/Outdoor Products/Bannerbow,Default Category/All Products/Exhibition Display/Bannerbow,Default Category/All Products/Exhibition Display",base,Bannerbow Arch Expo & Event ,"<div>
<p class=""font_8"">Whether you are participating in a roadshow or a event, Bannerbow products can inject that little bit of extra flair you are looking for. The event arches are flexible and can easily be moved from an entrance to an exhibition stand. One product which offers many possibilities.</p>
<p class=""font_8""><span>Our event arches are perfect for exhibitions or as a flexible part of an interior. Our first new product in 2018, Bannerbow Backdrop offers a perfect set for exhibitions and events.</span></p>
</div>
<ul>
<li>Frame Material-fiberglass</li>
<li>Foot material - Indoor Aluminium Base or Outdoor Steel Base</li>
<li>Printed on 115gsm Knitted Polyester</li>
<li>Colour of base - black</li>
<li>Depth - 1000mm</li>
<li>Transport trolley bag included</li>
<li>Indoor or Outdoor use</li>
</ul>","<ul>
<li>Frame Material-fiberglass</li>
<li>Foot material - Indoor Aluminium Base or Outdoor Steel Base</li>
<li>Printed on 115gsm Knitted Polyester</li>
<li>Colour of base - black</li>
<li>Depth - 1000mm</li>
<li>Transport trolley bag included</li>
<li>Indoor or Outdoor use</li>
</ul>",1,1,UK VAT,"Catalog, Search",,,,,bannerbow-arch-expo-event,Bannerbow Arch Expo & Event ,Bannerbow Arch Expo & Event ,Bannerbow Arch Expo & Event  ,/e/x/expo.jpg,,/e/x/expo.jpg,,/e/x/expo.jpg,,/e/x/expo.jpg,,"21/11/2018, 13:07","07/01/2019, 16:12",,,Block after Info Column,,,,Use config,,,,,,,,United Kingdom,"banner_height=3750mm,custom_measurement=No,depth=1000,manufacturer=PrintVision,material=330 gsm So Flat PVC,mst_search_weight=0,printed_pages=64pp,recommended_product=No,show_stickysidebar=0,ves_enable_order=1,ves_enable_quote=1",0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,"BBA-SPORT,BANNERBOWARCHRETAIL,BBA-CELE,BBA-CARS","1,2,3,4",,,,,"/e/x/expo.jpg,/b/a/bannerbow_sizes_3.jpg,/a/l/alublack_foot_1_1.png,/o/u/outdoor_extraweight_2.jpg,/o/u/outdoor_parts_box_1_1.jpg,/t/u/tubebag_bannerbow_2_1.png,/b/a/bag_detail_end_1.jpg",",,,,,,",,,,,,,,,,,"sku=BBA-EXPO-EVENT-3000mm-Single Sided-Outdoor Steel Base-1,banner_width=3000mm,printed_sides=Single Sided,bannerbow_footbase=Outdoor Steel Base,print_qty=1|sku=BBA-EXPO-EVENT-3000mm-Single Sided-Indoor Aluminium Base-1,banner_width=3000mm,printed_sides=Single Sided,bannerbow_footbase=Indoor Aluminium Base,print_qty=1|sku=BBA-EXPO-EVENT-3000mm-Double Sided-Outdoor Steel Base-1,banner_width=3000mm,printed_sides=Double Sided,bannerbow_footbase=Outdoor Steel Base,print_qty=1|sku=BBA-EXPO-EVENT-3000mm-Double Sided-Indoor Aluminium Base-1,banner_width=3000mm,printed_sides=Double Sided,bannerbow_footbase=Indoor Aluminium Base,print_qty=1|sku=BBA-EXPO-EVENT-4000mm-Double Sided-Indoor Aluminium Base-1,banner_width=4000mm,printed_sides=Double Sided,bannerbow_footbase=Indoor Aluminium Base,print_qty=1|sku=BBA-EXPO-EVENT-4000mm-Single Sided-Outdoor Steel Base-1,banner_width=4000mm,printed_sides=Single Sided,bannerbow_footbase=Outdoor Steel Base,print_qty=1|sku=BBA-EXPO-EVENT-4000mm-Single Sided-Indoor Aluminium Base-1,banner_width=4000mm,printed_sides=Single Sided,bannerbow_footbase=Indoor Aluminium Base,print_qty=1|sku=BBA-EXPO-EVENT-4000mm-Double Sided-Outdoor Steel Base-1,banner_width=4000mm,printed_sides=Double Sided,bannerbow_footbase=Outdoor Steel Base,print_qty=1|sku=BBA-EXPO-EVENT-5000mm-Double Sided-Outdoor Steel Base-1,banner_width=5000mm,printed_sides=Double Sided,bannerbow_footbase=Outdoor Steel Base,print_qty=1|sku=BBA-EXPO-EVENT-5000mm-Double Sided-Indoor Aluminium Base-1,banner_width=5000mm,printed_sides=Double Sided,bannerbow_footbase=Indoor Aluminium Base,print_qty=1|sku=BBA-EXPO-EVENT-5000mm-Single Sided-Outdoor Steel Base-1,banner_width=5000mm,printed_sides=Single Sided,bannerbow_footbase=Outdoor Steel Base,print_qty=1|sku=BBA-EXPO-EVENT-5000mm-Single Sided-Indoor Aluminium Base-1,banner_width=5000mm,printed_sides=Single Sided,bannerbow_footbase=Indoor Aluminium Base,print_qty=1","banner_width=banner width,printed_sides=Printed Sides,bannerbow_footbase=Bannerbow Foot Base,print_qty=Printed Quantity"
