sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price,tier_price_value_type
RTF0200-S-SS-WS-NB-PQ1,All Websites [GBP],ALL GROUPS,15,10,Discount
RTF0200-S-SS-WS-NB-PQ1,All Websites [GBP],ALL GROUPS,25,490,Fixed
