Value should be between 0 to 100,Value should be between 0 to 100
CMYK Enable,CMYK Enable
"Select ""Enable"" to display CMYK input boxes on color picker at designer tool.","Select ""Enable"" to display CMYK input boxes on color picker at designer tool."
