Value should be between 0 to 100,El valor debe estar entre 0 y 100
CMYK Enable,CMYK Enable
"Select ""Enable"" to display CMYK input boxes on color picker at designer tool.","Seleccione ""Activar"" para mostrar cuadros de entrada CMYK en el selector de color en la herramienta de diseño."
